,RMSE,R2,MAE
1,4.392151677921481,0.8816279357673193,1.9272390130157604
2,3.9714442197934137,0.9032186900070751,1.8405610382624507
3,3.8377577773559386,0.9096247143551881,1.7627917382131164
4,3.4265859365087863,0.9279526820643227,1.6427991829519346
5,3.665489747768291,0.9175560900465811,1.722403759004033
6,3.56340012049919,0.9220845213989489,1.684136051471212
7,3.6521093026781015,0.9181568953143862,1.7022645745751412
8,3.6848905770092726,0.9166810565743483,1.7163994066865902
9,3.79530566523127,0.9116130639113195,1.75884376121378
10,4.460233923125575,0.8779297497305535,1.8997350181415444
11,4.467872366488016,0.8775112850805082,1.9113264213975092
12,4.50539140238998,0.8754454451570921,1.9253733610753399
13,4.78927958499581,0.8592543622061993,1.9678812179765717
14,5.129260461704386,0.8385626322143291,2.024911343617577
15,5.244868073957314,0.8312033981176877,2.039881459551898
16,5.376131412899886,0.8226487254397392,2.047775698020853
17,5.458903239006018,0.8171456254578242,2.0720050316780134
18,5.495420352783738,0.8146910489546794,2.0795506721681045
19,5.512107895351739,0.8135639118228583,2.096522206146857
20,5.502213294228116,0.814232641489689,2.1074264336599278
21,5.465085320523592,0.8167312342560209,2.112069597976874
22,5.418195553226438,0.8198625904876702,2.1136781918181002
23,5.409243741154973,0.8204573361397595,2.11705188388697
24,5.458543284596279,0.8171697391178577,2.1455658664929733
25,5.418391526314954,0.8198495593142543,2.1467800707192213
26,5.457371997793366,0.8172481936376552,2.146375735219698
27,5.526630150032927,0.8125802449670432,2.158168367261249
28,5.603566156063538,0.8073257978769515,2.1810159201650983
29,5.678394838791338,0.8021455891887224,2.205672613108515
30,5.7630471734310875,0.7962024723833151,2.21844361104302
31,5.736092747283508,0.7981043825971154,2.2269277586860836
32,5.827443577131381,0.791622551233581,2.2361128369421497
33,5.816329294244429,0.7924166412460771,2.2430912066703943
34,5.841060847957172,0.7906475619725328,2.2550626839086845
35,5.883270864105667,0.7876108879268515,2.266794882168562
36,5.917283840637282,0.7851480171596936,2.2828741990016477
37,5.9299914711304975,0.7842242178763362,2.298887669083312
38,5.911082106519351,0.7855981414580839,2.3034076870219278
39,5.93248047065641,0.7840430444181506,2.329031285769345
40,5.980528461248723,0.78053074720404,2.361021895639292
